0_datetime,1_Pickup11,2_Fuel_eff,3_ME_tot_FL,4_Nav_02,5_Nav_03,6_Nav_04,7_Fuel_Index,8_MSB0-TOT-LOD,9_MS114,10_MW014,11_Trim_in_meters,12_LIST,13_ballast,14_ECDIS_COG,15_Uwind,16_Vwind,17_Gust,18_Significant_wave_height,19_Wave_direction,20_Wave_period,21_struja_smjer_deg,22_struja_brzina,23_sea,24_swell,25_wind,26_wind_deg_ecdis,27_Prop_slip
12/31/2016 13:33,-1,33.72093023,11.51716501,0.522243714,178.7234043,4.236641221,4.525627045,1682.7853,27.30063553,16.13152805,-0.027027027,-0.036197845,ballast,333.2,-6.613541,-0.7858887,9.778484,1.262661,61.28676,5.518824,42.85623943,0.066160791,1,0,2,44.9,d
12/31/2016 13:38,-1,33.72093023,11.51716501,0.522243714,178.7234043,4.236641221,4.525627045,1682.7853,27.30063553,16.13152805,-0.027027027,-0.021166068,ballast,333.2,-6.613541,-0.7858887,9.778484,1.262661,61.28676,5.518824,42.85623943,0.066160791,1,0,2,44.9,d
12/31/2016 13:43,-0.386847195,33.98394241,11.51716501,0.522243714,178.7234043,4.236641221,4.525627045,1667.311412,27.30063553,16.13152805,-0.027027027,-0.015860735,ballast,333.2,-6.613541,-0.7858887,9.778484,1.262661,61.28676,5.518824,42.85623943,0.066160791,1,0,2,44.9,d
12/31/2016 13:48,0.939486046,64.0227021,11.51716501,0.522243714,178.7234043,4.236641221,1.668484188,1708.575113,27.30063553,16.42166344,-0.040264755,-0.015860735,ballast,333.2,-6.613541,-0.7858887,9.778484,1.262661,61.28676,5.518824,42.85623943,0.066160791,1,0,2,44.9,d
12/31/2016 13:53,-1,22.93281654,11.51716501,0.522243714,178.7234043,4.236641221,9.312977099,1692.732799,27.20116054,16.30560928,-0.087148373,-0.006576402,ballast,333.2,-6.613541,-0.7858887,9.778484,1.262661,61.28676,5.518824,42.85623943,0.066160791,1,0,2,44.9,c
12/31/2016 14:01,28.99972368,126.9379845,158.9147287,0.522243714,178.7234043,4.236641221,25.19083969,1721.470019,27.16634429,16.13152805,-0.111969112,0.166731141,ballast,333.2,-6.613541,-0.7858887,9.778484,1.262661,61.28676,5.518824,42.85623943,0.066160791,1,0,2,44.9,d
12/31/2016 14:06,35.3827024,171.6500554,285.7142857,0.522243714,178.7234043,4.236641221,33.20610687,1721.470019,27.16634429,15.95744681,-0.128516271,0.152583587,ballast,333.2,-6.613541,-0.7858887,9.778484,1.262661,61.28676,5.518824,42.85623943,0.066160791,1,0,2,44.9,d
12/31/2016 14:11,38.11826471,175.6644518,279.0697674,0.522243714,178.7234043,4.236641221,32.68266085,1635.810998,27.27079304,15.95744681,-0.083838941,-0.01365018,ballast,333.2,-6.613541,-0.7858887,9.778484,1.262661,61.28676,5.518824,42.85623943,0.066160791,1,0,2,44.9,d
12/31/2016 14:16,30.40895275,166.3898117,98.56035437,0.522243714,178.7234043,4.236641221,21.78844057,1582.757668,27.27079304,15.95744681,-0.077220077,-0.099419729,ballast,333.2,-6.613541,-0.7858887,9.778484,1.262661,61.28676,5.518824,42.85623943,0.066160791,1,0,2,44.9,d
12/31/2016 14:21,31.90107765,169.5736434,114.0642303,0.522243714,178.7234043,4.236641221,22.90076336,1581.099751,27.27079304,15.95744681,-0.077220077,-0.087040619,ballast,333.2,-6.613541,-0.7858887,9.778484,1.262661,61.28676,5.518824,42.85623943,0.066160791,1,0,2,44.9,d
